Velocity,Lean,Pitch,Yaw,Status
33.07716,-45.28986,0.5833074,149.0493,Not Crashed
28.31964,-70.45453,5.297967,-160.3234,Crashed
11.07381,0,0,-49.7641,Not Crashed
7.000927,73.2237,-1.42926,-56.11627,Crashed
7.466359,5.489121,-6.015045,-102.6262,Not Crashed
43.51624,-15.04532,-2.848297,-118.3271,Not Crashed
54.29715,-15.07751,-2.510162,-102.017,Not Crashed
56.87921,-0.5888367,36.4895,-100.7017,Not Crashed
54.41171,-167.9557,87.14768,91.85361,Crashed
5.449364,2.342345E-07,-3.840575E-07,80.46987,Not Crashed
27.66126,-4.131042,-2.666809,5.270312,Not Crashed
37.34219,-22.78613,-2.902435,-0.64505,Not Crashed
10.16828,-37.58038,2.842199,27.07211,Crashed
3.406467,-0.025177,-0.6802673,149.1805,Not Crashed
12.09855,35.0521,0.4259046,32.75072,Not Crashed
16.22632,-24.94806,-0.02645874,-3.696594,Not Crashed
19.52437,44.0038,-0.1654358,-44.60352,Not Crashed
10.47882,40.38972,0.09697593,145.4453,Not Crashed
9.510619,-8.347717,0.3659875,53.18149,Not Crashed
3.423419,-0.05099487,-0.7480164,78.18031,Not Crashed
25.75199,2.895035,-3.567719,15.14024,Not Crashed
49.09644,-6.877838,-2.758057,5.656971,Not Crashed
35.9028,65.90213,-2.772461,13.95749,Not Crashed
35.70906,71.49954,-3.183105,14.61844,Crashed
6.8466,32.22832,1.297855,-107.5775,Not Crashed
16.57422,-11.76077,-3.556458,162.1963,Not Crashed
25.14024,-17.93393,-5.429321,163.212,Not Crashed
41.41754,-19.46054,-2.757416,-148.5803,Crashed
10.53904,70.23098,4.216454,-76.19858,Crashed
30.71081,-0.5747681,-3.200409,-0.5222778,Not Crashed
42.00932,-28.07242,-2.630798,11.73799,Not Crashed
43.4375,-29.61761,-11.90411,22.11498,Crashed
1.407236,2.590768E-05,-0.5003662,-80.4299,Not Crashed
26.9355,-44.53925,-2.002441,-16.20013,Not Crashed
40.88799,-43.04166,-1.668121,51.78029,Not Crashed
21.48581,-70.52344,-1.099335,-163.7371,Crashed
10.78556,6.09105,-2.244293,-78.89777,Not Crashed
29.16076,39.97593,1.28413,-157.0343,Not Crashed
45.95143,26.55088,-2.563385,160.6254,Not Crashed
28.37642,-44.8251,-0.6943359,176.2966,Not Crashed
26.5437,-34.97281,-3.149933,-41.20175,Not Crashed
34.19169,-71.29211,0.5540676,13.20613,Crashed
32.01123,23.30232,-0.1156921,-1.563385,Not Crashed
41.45016,-70.23547,-3.817749,-5.37442,Crashed
37.25968,19.01228,-2.522552,14.874,Not Crashed
43.65137,36.75823,-1.48111,-24.61652,Not Crashed
30.64472,70.39497,-1.104401,-94.47202,Crashed
36.71173,31.46283,-2.614838,-11.56796,Not Crashed
36.57196,-42.81671,-2.256378,25.30725,Not Crashed
45.88961,-70.00632,-4.18576,56.19123,Crashed
19.00709,38.42236,-0.08618164,-69.88116,Not Crashed
29.3149,29.74633,-1.393463,-154.051,Not Crashed
49.93854,-0.5995789,-2.591034,164.9516,Not Crashed
51.273,-37.58069,-1.059296,174.8895,Crashed
34.68516,25.94394,-1.239075,-170.8017,Not Crashed
6.372463,44.76009,0.483479,-32.86487,Not Crashed
10.85628,-28.14389,0.0749272,-70.66013,Not Crashed
9.47881,24.12167,-0.1563721,73.60441,Not Crashed
28.39528,-23.06708,-1.935577,-13.28299,Not Crashed
45.15586,-71.65753,-1.694092,21.4023,Crashed
35.57127,-15.92896,-3.317413,0.4856001,Not Crashed
46.26403,-72.27008,-6.555878,-14.52646,Crashed
16.00539,-37.27145,1.529482,74.79862,Not Crashed
21.15392,-29.82791,-3.875824,-73.56656,Not Crashed
38.03005,37.47626,-1.124969,-119.3445,Not Crashed
41.81178,44.75587,-2.002075,179.588,Not Crashed
28.69202,40.9186,-1.958374,124.9337,Not Crashed
42.04684,23.96261,-2.777679,70.50359,Not Crashed
53.873,2.947275,-2.316528,56.70362,Not Crashed
33.91879,28.36591,-0.3453674,35.07712,Not Crashed
46.18428,-15.25085,-2.783234,40.2939,Not Crashed
21.2998,-14.983,-2.558838,48.6671,Crashed
27.6619,3.246277,-3.05481,6.505712,Not Crashed
49.80299,1.616677,-2.719086,7.760806,Not Crashed
28.11464,33.73889,-1.144684,-32.57483,Not Crashed
15.49156,-37.85336,0.4098511,24.10184,Not Crashed
29.16219,-14.96573,-2.361633,176.1495,Not Crashed
27.99843,-8.134064,-0.07296753,-175.2848,Not Crashed
7.543601,1.51459,6.291187,-156.8798,Not Crashed
27.11779,13.99613,-3.131866,-167.3774,Not Crashed
31.28492,-13.94443,1.626751,175.4501,Not Crashed
12.0369,-42.29239,0.7130373,-57.33777,Not Crashed
38.43018,25.57575,-2.820801,12.81302,Not Crashed
12.73037,-17.74884,-0.7606812,-1.0513,Crashed
36.84548,-8.642365,-2.873932,-1.269379,Not Crashed
12.20896,-8.395996,-2.744934,10.78014,Crashed
26.2236,-17.20786,-3.351929,3.283931,Not Crashed
41.62924,49.13881,-0.5315247,-33.12268,Not Crashed
29.13084,-35.79553,-2.11673,-31.95352,Not Crashed
49.31023,-40.07443,-2.117584,29.4317,Not Crashed
53.06411,-71.15244,0.4143109,71.21338,Crashed
15.24914,-24.88504,-2.557648,124.7856,Not Crashed
41.50828,-32.91061,-2.459595,-161.452,Not Crashed
53.61163,6.170261,-2.575592,-147.7884,Not Crashed
54.70164,71.55907,-5.268799,-145.4862,Crashed
9.33996,-4.74527,-5.23288,75.27225,Not Crashed
28.95773,-41.71042,-2.109314,153.2998,Not Crashed
14.17491,-22.48154,0.01298761,-131.8571,Not Crashed
12.33471,-14.36682,-4.931915,52.942,Not Crashed
13.09223,24.16783,-3.232941,-42.51703,Not Crashed
33.84438,-38.22464,-2.738251,-7.202942,Not Crashed
44.43785,-39.44543,-2.203278,47.19864,Crashed
15.09954,1.227125E-05,-0.002881362,24.76421,Not Crashed
4.393633,0.02411071,-0.7211914,24.51057,Not Crashed
1.281308,3.859706E-05,-0.8068542,24.69555,Not Crashed
20.63756,-34.37515,-1.29187,57.53507,Not Crashed
40.45782,20.79753,-2.417267,97.11633,Not Crashed
53.39468,-3.734253,-2.756531,94.782,Not Crashed
20.73217,-28.69049,5.600646,100.889,Crashed
10.4981,-44.48358,0.5553783,-174.1246,Not Crashed
40.99822,12.09723,-2.390442,-139.3091,Not Crashed
52.90441,-21.98395,-2.603699,-128.3883,Not Crashed
52.37288,34.42811,-1.949127,-144.275,Not Crashed
40.01468,70.77613,-0.4674683,-178.8263,Crashed
15.97747,0.0002478194,-0.006530762,178.8655,Not Crashed
23.13098,-42.01636,-0.5379639,-111.9576,Not Crashed
38.13769,-33.1951,0.5309284,-36.57147,Not Crashed
33.85083,17.00167,-3.200928,19.25801,Not Crashed
12.26581,68.68331,-1.646637,-3.570618,Crashed
22.91145,14.80162,-3.78186,6.076621,Not Crashed
12.77744,72.15897,-0.515625,-4.477142,Crashed
36.02785,-31.50024,-2.765869,-23.26215,Not Crashed
40.54147,-35.4754,-1.758667,28.63065,Not Crashed
46.18679,-71.36523,-0.1591187,54.80085,Crashed
11.48047,-23.96191,0.7028347,104.5661,Not Crashed
35.04768,-27.3468,-2.390259,171.632,Not Crashed
47.91579,-32.85428,-2.424927,-143.9232,Not Crashed
55.58699,2.855856,-1.592987,-141.0335,Not Crashed
7.940739,-34.49429,1.590214,-90.73401,Not Crashed
7.338128,-71.26254,-0.8215027,-17.89896,Crashed
14.53682,-17.55585,-3.158203,-15.05151,Not Crashed
